t[yr],M_FUV,M_NUV,M_u,M_g,M_r
7100000.0,-0.11718107,-0.054901017,0.17275644,0.19142653,0.32477408
7200000.0,-0.09268057,-0.029971219,0.20013935,0.21945338,0.34501228
7300000.0,-0.067438376,-0.0038870562,0.22959255,0.24976246,0.36570748
7400000.0,-0.041603665,0.023119298,0.26069966,0.28189476,0.38676775
7500000.0,-0.015768953,0.050125653,0.29180678,0.31402706,0.40782802
7600000.0,0.010349294,0.07750729,0.32360433,0.34689882,0.42896813
7700000.0,0.038182245,0.10715847,0.35957737,0.38424252,0.45059113
7800000.0,0.066015195,0.13680965,0.39555041,0.42158623,0.47221412
7900000.0,0.093848145,0.16646083,0.43152344,0.45892994,0.49383711
8000000.0,0.12212367,0.19722025,0.47045846,0.49945824,0.51507615
8100000.0,0.15073718,0.22882603,0.51165549,0.54241857,0.53602199
8200000.0,0.17935068,0.2604318,0.55285253,0.5853789,0.55696782
8300000.0,0.20796419,0.29203757,0.59404957,0.62833924,0.57791366
8400000.0,0.23519791,0.32261469,0.63657281,0.67457819,0.60186401
8500000.0,0.26213693,0.3529721,0.67937932,0.72151739,0.62645607
8600000.0,0.28907594,0.38332951,0.72218582,0.7684566,0.65104813
8700000.0,0.31601496,0.41368693,0.76499233,0.81539581,0.6756402
8800000.0,0.33619578,0.43472431,0.78962472,0.84238474,0.70764198
8900000.0,0.35565927,0.45477243,0.81232805,0.86725609,0.74043026
9000000.0,0.37512275,0.47482055,0.83503139,0.89212743,0.77321853
9100000.0,0.39458624,0.49486867,0.85773472,0.91699877,0.8060068
9200000.0,0.41013629,0.50940241,0.86821107,0.92166541,0.81676378
9300000.0,0.42470134,0.52254819,0.87560994,0.92124661,0.82197556
9400000.0,0.4392664,0.53569397,0.88300881,0.9208278,0.82718734
9500000.0,0.45383145,0.54883975,0.89040768,0.920409,0.83239912
9600000.0,0.46834567,0.56196676,0.89788423,0.92027791,0.83681421
9700000.0,0.48280926,0.57507507,0.90543817,0.92043343,0.84043565
9800000.0,0.49727284,0.58818338,0.91299212,0.92058896,0.8440571
9900000.0,0.51173642,0.60129169,0.92054606,0.92074448,0.84767855
1.0E7,0.5262,0.6144,0.9281,0.9209,0.8513
1.01E7,0.5411683,0.62809439,0.93646526,0.92285331,0.85637436
1.02E7,0.55613659,0.64178878,0.94483051,0.92480661,0.86144872
1.03E7,0.57110489,0.65548318,0.95319577,0.92675992,0.86652307
1.04E7,0.58607319,0.66917757,0.96156102,0.92871323,0.87159743
1.05E7,0.60090965,0.68280432,0.97001871,0.93109808,0.87706116
1.06E7,0.61542342,0.69626549,0.97870267,0.93453929,0.88347799
1.07E7,0.62993718,0.70972666,0.98738662,0.93798049,0.88989481
1.08E7,0.64445095,0.72318783,0.99607058,0.9414217,0.89631164
1.09E7,0.65896472,0.736649,1.0047545,0.9448629,0.90272847
1.1E7,0.67351662,0.75019853,1.0136959,0.9489409,0.90972226
1.11E7,0.68813938,0.7639122,1.0231156,0.95420199,0.91778799
1.12E7,0.70276214,0.77762588,1.0325353,0.95946308,0.92585372
1.13E7,0.71738491,0.79133955,1.041955,0.96472418,0.93391945
1.14E7,0.73200767,0.80505323,1.0513747,0.96998527,0.94198518
1.15E7,0.74646724,0.81864421,1.0608489,0.97552359,0.95031907
1.16E7,0.76018277,0.83167582,1.0705718,0.98232591,0.95987557
1.17E7,0.7738983,0.84470742,1.0802947,0.98912823,0.96943208
1.18E7,0.78761383,0.85773902,1.0900176,0.99593055,0.97898859
1.19E7,0.80132937,0.87077063,1.0997404,1.0027329,0.98854509
1.2E7,0.8150449,0.88380223,1.1094633,1.0095352,0.9981016
1.21E7,0.82814438,0.89626826,1.1193045,1.0179699,1.0097138
1.22E7,0.84105981,0.90856531,1.129181,1.0268923,1.0219402
1.23E7,0.85397524,0.92086236,1.1390575,1.0358148,1.0341666
1.24E7,0.86689067,0.93315941,1.148934,1.0447372,1.046393
1.25E7,0.8798061,0.94545646,1.1588105,1.0536596,1.0586193
1.26E7,0.89239322,0.95742087,1.1686876,1.0634283,1.0718591
1.27E7,0.90232581,0.96669578,1.1785696,1.0800388,1.0932926
1.28E7,0.9122584,0.9759707,1.1884516,1.0966493,1.1147261
1.29E7,0.92219098,0.98524561,1.1983336,1.1132599,1.1361596
1.3E7,0.93212357,0.99452052,1.2082157,1.1298704,1.1575931
1.31E7,0.94205616,1.0037954,1.2180977,1.1464809,1.1790265
1.32E7,0.9519748,1.0130561,1.2276621,1.1617185,1.1979174
1.33E7,0.96182994,1.0222521,1.235781,1.1707055,1.2052324
1.34E7,0.97168508,1.0314481,1.2438998,1.1796925,1.2125473
1.35E7,0.98154022,1.0406441,1.2520186,1.1886794,1.2198623
1.36E7,0.99139536,1.0498401,1.2601375,1.1976664,1.2271773
1.37E7,1.0012505,1.059036,1.2682563,1.2066534,1.2344923
1.38E7,1.0111056,1.068232,1.2763751,1.2156404,1.2418073
1.39E7,1.0206568,1.0772251,1.2844685,1.2240787,1.2471362
1.4E7,1.0301953,1.0862098,1.2925608,1.2324941,1.2523824
1.41E7,1.0397338,1.0951945,1.3006532,1.2409095,1.2576286
1.42E7,1.0492723,1.1041791,1.3087455,1.249325,1.2628747
