gapp,rapp,newrabs
18.18971304161885,17.20288491853767,-20.82626191613347
19.29617902677429,17.80048446838436,-21.674958329693922
19.02791657697096,17.803169633316664,-21.355378730137986
19.822431189430226,18.16289792717574,-22.577429589892645
19.51474101694975,19.145972813781803,-18.902167509223368
18.652612359379937,17.76452718726197,-18.56097919486166
19.457375893997572,18.99655408903333,-18.474916574979417
20.038961683995318,19.483781953604982,-21.421701706283173
20.143420132578647,19.485437622836464,-20.339531420949406
19.981845803818295,19.377835945726865,-20.426593166614545
18.269992406104883,17.591089051193485,-18.153030495055297
19.833789772776036,18.868434142561306,-21.905515700990144
18.40335731504181,17.276516792540143,-21.80935067488155
19.348462084600648,16.265575772788274,-21.146978936096637
18.846613192681026,18.267442889424295,-20.45164741607065
18.78718172558535,18.507416384675643,-18.82294960026949
20.64325299928776,20.099675827972,-19.776948664612306
18.542463029634412,17.693387621713974,-21.28583512592906
18.490531714570942,17.620859651605407,-21.051981225479928
20.56814665477794,19.59286014377549,-22.47692573377774
19.679284201607167,18.343273877973083,-21.568788794601325
18.37440445730011,17.389569904691378,-20.544664360108904
17.822717079447692,16.866030815539325,-21.111670384476653
19.225820900643107,17.747041793280566,-22.640855346326667
19.0816767628745,18.306769122442795,-20.171632586494418
19.36501399662705,18.82360191018727,-20.98806061447514
21.370334108551354,19.612249002883793,-21.96729004334788
19.983317201946214,18.41816328416173,-22.477650732642836
18.25262894709011,17.57600711837889,-20.784580930153282
16.560602253181095,15.794640676707267,-22.562781109218633
21.205218211788186,19.554138850867865,-21.64017986516037
17.133269540661807,16.435816484844217,-20.804094836983303
19.031991771464313,17.584119464184603,-22.98112022336631
20.810169375576145,19.797554895317553,-20.73528844565839
19.165013413461743,18.67356140543624,-20.65432791099927
17.934243201998733,17.375640559862894,-20.634912071952762
18.470172155311396,17.909981416592068,-20.038249376447695
21.350548145337008,19.558510805399187,-22.564432465933898
16.233067377069197,15.635547105923855,-21.889271943923724
17.919841204187314,16.709845299204822,-22.695993884390276
17.732312259433478,16.846822237301502,-20.752718309396244
17.84475707431627,17.094299721231458,-21.409131212282816
18.904318958092425,18.82046935057044,-17.427389550621733
17.3881392783319,16.606814013743893,-20.369676877017575
18.94522710911908,18.128002213700803,-19.607433051286414
17.136110385581354,16.67622752974281,-19.61629506010938
19.49426036272026,17.670580573712336,-23.958118903182395
16.963342708341877,16.10417282507995,-21.20373626013314
19.730037506080173,18.215240874640664,-23.112520369628335
20.061226728479447,18.874250095712448,-22.179824889516638
19.618944034980835,18.961581336918947,-19.223099076286005
20.535977654605425,19.181055215060432,-20.78087790891066
18.342558833908363,17.320680496417104,-21.41311884073378
19.191740945803637,17.7257025840401,-22.872609960503034
16.468717642035635,15.456779866806507,-21.28681772058797
19.87101031652329,18.40198382403097,-22.150327725930218
17.77850473573765,17.120608408374444,-21.762304409413318
17.885183408422357,17.471688890910904,-17.474551282089223
18.081449423492465,17.193892664068137,-21.60803697713071
18.937040297730725,18.416214572300156,-18.883936292957188
16.726964700823366,16.182410846050722,-21.791807113290496
18.577629367140823,17.243672061134426,-22.721610184168775
17.747492396864324,17.287427371349615,-18.553913936977715
18.159269629116245,17.52409271675139,-20.081352868573347
18.502210392765583,17.76456538621229,-16.678579604729244
18.279698810214462,17.323040743426766,-21.928363854725845
18.409974245955105,17.591089051193485,-22.46773545553534
18.497179139559385,17.425488937073006,-21.581645573482064
18.1268829873572,17.192449990084732,-20.511811886761322
17.53540290565656,16.775346329592445,-22.865416339730395
17.2677169071169,17.000113109653363,-19.99450022290864
18.443749375690224,17.895465156504592,-20.27363478278246
18.02157231226081,17.520521354150382,-20.629259448364373
16.882042246369316,15.92592333789198,-21.690308724686787
18.02113727536169,17.046490686152545,-21.963073265358013
16.896542162639456,16.374886475999567,-20.016763167846065
19.484618777976344,18.83940173035436,-21.28722199176844
19.423091186946102,19.24285361116963,-18.37784965009468
18.412050372106982,17.691138684285058,-22.141346171075092
20.94682053920301,19.61469970301372,-22.12411201164634
18.210455150972344,17.33713060667521,-21.9467153476646
21.115809975430658,19.573326888742095,-20.52430130012025
20.674412495708573,19.592408027752818,-21.881276224427907
14.095055919283489,13.276698313253611,-21.542756046422056
20.58364831125578,19.69001980800244,-20.309057498019015
19.118873604998676,18.573763567672124,-19.340393904749085
20.167401088111113,19.365530692447216,-22.308420543880523
16.316038600192265,15.514104492458365,-19.54761357078865
19.34472692223428,18.533284888929096,-22.690149707148883
17.749560159874754,16.885721272454283,-20.79983317970342
20.353956699206755,19.935305232244552,-16.473184758936355
19.159401139157602,18.484294860079267,-21.49338885882066
18.977929066206293,18.681789050538192,-20.612376146967556
19.30917384315554,18.765383900281442,-20.224972224280762
19.674775719443538,19.072996609835023,-19.91450254303208
18.846716607586295,17.728799405671104,-20.82026813910531
20.820752708143026,19.520071060590716,-21.95900900523825
19.547692608709617,19.055779109956582,-16.781067922110843
18.791201343439333,18.259589238454076,-19.685706633688042
21.370968170114544,19.759514841381723,-21.14333939054528
18.345226093447785,17.632824581093423,-19.99857785428705
20.61871039873281,19.237017889131515,-20.704956074532923
17.391056578118928,16.793742161549766,-19.883573104144993
17.957508869355927,17.024384917234578,-21.74087055418849
20.012082447567614,19.46588123194413,-17.213417072402684
19.082601311524492,18.621087679351625,-19.3395722349902
18.56599309993296,17.40853475291241,-21.550919861616137
21.360029749690987,20.820116126681803,-12.117928453173931
24.829538748945815,24.03485232908178,-13.534146905754504
19.834508502520542,18.734278365809892,-20.381297425343277
19.735602043890275,19.207522443361903,-20.112272347048766
19.22947667327262,18.108658877151576,-21.011249447124996
19.19193980958746,17.97533763051205,-21.39636223480192
19.728476135242268,18.537242202848127,-20.83893824641627
19.431437331836314,18.681078781685123,-20.407722874665453
19.236840222136145,17.915185008252557,-21.022764775456146
21.284054769430732,19.47325649309777,-22.5153826240117
19.398207286723355,18.866116410606345,-17.15212372980048
16.955671946285257,16.057168838183223,-20.850899060282245
17.590276331652582,16.76802255383982,-20.13149424099995
16.073602717907043,15.229390245460557,-21.67987881153401
20.018968298484957,19.455871178695084,-20.5810498993278
20.041133540344568,18.806533335123753,-21.875691721521328
20.591147928234527,19.951369913422432,-21.164974328162863
21.47462111525143,20.844900559304044,-19.302884110041497
19.1084177262422,17.717853060172637,-22.607126912608997
20.56875238713841,19.55039693775641,-21.97870754288092
19.807752714484245,20.12978719938858,-16.247458473544064
19.053988426216414,17.60995130940848,-22.361709045752974
19.299201384144247,18.4974039672283,-21.392850586685917
20.29989305059396,18.598729634821574,-22.352379711830174
20.85051498574797,19.779832133903277,-21.22986109494026
20.780680456541155,19.2545746688153,-21.780743384040406
20.79806543270285,19.52284224075411,-21.39089933639709
21.614843241411457,20.025469458704187,-20.442559198236474
21.31875527568088,19.39038463842595,-22.075134401716802
20.80853086867659,19.459300600709376,-19.804664080576465
19.018176293864478,18.543244421899395,-20.515664655260863
19.325727688305868,18.41934823719081,-21.4868959867715
20.962380751055242,19.630053201425305,-21.49065433200205
20.90569621469563,19.527128435429937,-21.613254405442255
20.517663416444016,18.95042370884763,-22.502603212451817
20.21093094284756,18.787083899575897,-22.325080286144335
17.349061153028224,16.76528320636188,-21.192953930396968
18.7560248830815,17.93853407967452,-20.939342103090723
19.931283881464715,18.850755679442948,-21.336144886855116
18.787964864892963,17.728910081706537,-21.348078541840167
19.108509808309144,18.462525885517202,-21.457929783500383
20.96100303268232,19.82271047658643,-21.26922809462313
21.090126035976176,19.68858226751731,-21.768179521017757
20.974565785867618,19.388867595507243,-21.704556409864175
19.784137747616832,18.40218967701525,-22.73560429330447
20.19153105828132,19.497267443759434,-17.722805382281784
21.016224997590477,19.113375309356336,-22.65506180083684
19.87305693392431,18.852832864861107,-21.313241635179146
20.20037819884279,18.445176766248345,-22.691654694899498
20.287001729299625,18.508475743525757,-22.629726302526784
21.409563916571436,19.62006034616173,-22.242011329386024
19.094211582203236,18.46841974364866,-20.419582919749992
20.247379742097685,18.813729693980342,-22.57765498280751
