 # NUV-r g-r t[Myr]
  -1.56620002     -0.489600062               0
  -1.56619990     -0.489600062               0
  -1.56619978     -0.489600003               0
  -1.56620002     -0.489600033               0
  -1.56620002     -0.489599943               0
  -1.56619990     -0.489600062               0
  -1.56620002     -0.489599943               0
  -1.56619966     -0.489599943               0
  -1.56620002     -0.489600062               0
  -1.56620312     -0.489597559               1
  -1.56623936     -0.489570141               1
  -1.56629050     -0.489486337               1
  -1.56630290     -0.489361405               1
  -1.56595147     -0.489183545               1
  -1.56531882     -0.488970041               1
  -1.56440663     -0.488728762               1
  -1.56316614     -0.488461494               1
  -1.56166410     -0.488177538               1
  -1.55984473     -0.487876177               1
  -1.55757117     -0.487537384               2
  -1.55500698     -0.487169027               2
  -1.55265212     -0.486617327               2
  -1.54976296     -0.485962629               2
  -1.54683137     -0.485148191               2
  -1.54268694     -0.484150410               2
  -1.53804159     -0.482874155               2
  -1.53290963     -0.481589079               2
  -1.52735209     -0.480133772               2
  -1.52219367     -0.478945017               2
  -1.51731062     -0.478197336               3
  -1.50622797     -0.476406574               3
  -1.49285030     -0.474162579               3
  -1.47869706     -0.471710920               3
  -1.46372700     -0.469040871               3
  -1.44750428     -0.466077566               3
  -1.43001390     -0.462848425               3
  -1.41121531     -0.459393978               3
  -1.39125252     -0.455752611               3
  -1.37024188     -0.451945782               3
  -1.34918547     -0.448176861               4
  -1.32830834     -0.444484472               4
  -1.30837107     -0.441020489               4
  -1.28957629     -0.437830687               4
  -1.27242446     -0.435033083               4
  -1.25671959     -0.432560921               4
  -1.24230576     -0.430350304               4
  -1.22869039     -0.428265810               4
  -1.21499252     -0.426053524               4
  -1.20126772     -0.423710346               4
  -1.18779159     -0.421163321               5
  -1.17454600     -0.418431044               5
  -1.16152573     -0.415415764               5
  -1.14871573     -0.412124395               5
  -1.13601899     -0.408489466               5
  -1.12334704     -0.404452562               5
  -1.11069345     -0.400046349               5
  -1.09792256     -0.395394564               5
  -1.08504343     -0.390512466               5
  -1.07250452     -0.385718346               5
  -1.06078720     -0.381353378               6
  -1.04982281     -0.377377987               6
  -1.03958607     -0.373646259               6
  -1.03002930     -0.370102882               6
  -1.02109385     -0.366730690               6
  -1.01254749     -0.363479137               6
  -1.00434589     -0.360335827               6
 -0.996465683     -0.357292652               6
 -0.988891602     -0.354323864               6
 -0.981605530     -0.351421833               6
 -0.974588871     -0.348584175               7
 -0.967824936     -0.345783234               7
 -0.961299896     -0.343016148               7
 -0.954998970     -0.340279579               7
 -0.948907852     -0.337555408               7
 -0.943013668     -0.334830761               7
 -0.937305450     -0.332107544               7
 -0.931770802     -0.329380989               7
 -0.926393986     -0.326619148               7
 -0.921165943     -0.323826790               7
 -0.916079044     -0.321008682               8
 -0.911118507     -0.318140507               8
 -0.906268597     -0.315205574               8
 -0.901525974     -0.312213898               8
 -0.896887302     -0.309173107               8
 -0.892383099     -0.306096077               8
 -0.888012886     -0.302990913               8
 -0.883773327     -0.299864769               8
 -0.879656315     -0.296721935               8
 -0.875764847     -0.293742657               8
 -0.872097015     -0.290935040               9
 -0.868641376     -0.288288593               9
 -0.865384579     -0.285793781               9
 -0.862182140     -0.283386707               9
 -0.858996868     -0.281048298               9
 -0.855830193     -0.278779030               9
 -0.852680683     -0.276576042               9
 -0.849543095     -0.274430752               9
 -0.846411228     -0.272336006               9
 -0.843286514     -0.270290375               9
 -0.840167999     -0.268291473              10
 -0.837056160     -0.266340733              10
 -0.833958149     -0.264435768              10
 -0.830874443     -0.262577534              10
 -0.827805042     -0.260763645              10
 -0.824748993     -0.258993149              10
 -0.821709633     -0.257265568              10
 -0.818692684     -0.255581379              10
 -0.815698624     -0.253939629              10
 -0.812726974     -0.252338886              10
 -0.809777260     -0.250778198              11
 -0.806850910     -0.249257088              11
 -0.803955078     -0.247775555              11
 -0.801089287     -0.246333599              11
 -0.798252106     -0.244929314              11
 -0.795442581     -0.243560791              11
 -0.792664051     -0.242229462              11
 -0.789922237     -0.240934372              11
 -0.787216663     -0.239674568              11
 -0.784547806     -0.238450527              11
 -0.781913280     -0.237259865              12
 -0.779313087     -0.236101151              12
 -0.776759148     -0.234979630              12
 -0.774253368     -0.233892918              12
 -0.771794319     -0.232842445              12
 -0.769381523     -0.231825352              12
 -0.767012596     -0.230841160              12
 -0.764693737     -0.229891300              12
 -0.762467384     -0.228985310              12
 -0.760330677     -0.228122711              12
 -0.758280277     -0.227300644              13
 -0.756314278     -0.226519108              13
 -0.754428387     -0.225775242              13
